net,length_um
rf._04278_,82.32
rf._03612_,82.22
rf._02036_,82.18
clknet_leaf_29_clk,82.16
rf._03022_,82.1
rf.regs\[2\]\[1\],82.04
rf._04481_,81.98
clknet_leaf_183_clk,81.96
imem_inst.instr\[24\],81.88
alu_inst._176_,81.84
rf._04034_,81.6
rf._02535_,81.5
clknet_leaf_57_clk,81.42
rf._01672_,81.34
rf._02085_,81.34
rf._03878_,81.26
clknet_leaf_11_clk,81.18
rf._01500_,81.02
rf._03288_,80.9
rf._04541_,80.84
rf._02625_,80.76
rf._03554_,80.68
rf._02105_,80.66
clknet_leaf_123_clk,80.6
rf._02478_,80.44
rf._02890_,80.3
rf._02492_,80.26
clknet_leaf_159_clk,80.16
rf._01316_,80.1
rf._04040_,80.1
clknet_leaf_21_clk,80.1
rf._02993_,79.84
rf._03098_,79.8
rf._01553_,79.64
rf._04346_,79.54
rf._01977_,79.52
clknet_leaf_84_clk,79.39
clknet_leaf_59_clk,79.34
rf._03821_,79.18
rf._02160_,79.16
rf._02866_,79
rf._02517_,78.98
rf._02484_,78.72
rf._04348_,78.66
rf._03391_,78.48
clknet_leaf_164_clk,78.46
rf._03562_,78.38
clknet_leaf_162_clk,78.28
clknet_leaf_152_clk,78.12
rf._03789_,78.06
clknet_leaf_73_clk,78
rf._01927_,77.66
clknet_leaf_177_clk,77.62
clknet_leaf_88_clk,77.58
rf._03838_,77.52
rf._04252_,77.46
clknet_leaf_120_clk,77.42
rf._03815_,77.38
clknet_leaf_150_clk,77.32
clknet_leaf_50_clk,77.15
clknet_leaf_52_clk,77.1
clknet_leaf_61_clk,77.08
rf._03125_,76.98
rf._03130_,76.9
clknet_leaf_16_clk,76.9
rf._02915_,76.88
rf._03764_,76.88
clknet_leaf_139_clk,76.86
rf._02264_,76.78
clknet_leaf_182_clk,76.38
rf._02566_,76.28
clknet_leaf_146_clk,76.26
rf._03345_,76.08
clknet_leaf_1_clk,75.82
rf._01712_,75.7
rf._03503_,75.62
rf._03709_,75.62
rf._04277_,75.38
rf._01546_,75.34
rf.regs\[30\]\[2\],75.24
rf._03508_,75.12
rf._03237_,75.08
rf._03715_,75.08
clknet_leaf_69_clk,75.08
clknet_leaf_49_clk,75.02
clknet_leaf_96_clk,74.98
clknet_leaf_70_clk,74.96
rf._04087_,74.94
clknet_leaf_128_clk,74.84
rf._01264_,74.58
clknet_leaf_191_clk,74.52
clknet_leaf_105_clk,74.515
rf._04189_,74.48
clknet_leaf_122_clk,74.44
rf._03034_,74.36
alu_inst.y\[8\],74.04
clknet_leaf_15_clk,73.875
rf._01209_,73.8
rf._01435_,73.8
rf._04047_,73.76
rf._03231_,73.54
clknet_leaf_27_clk,73.38
_035_,73.36
rf._01494_,73.32
rf._02216_,73.32
rf._03446_,73.24
rf.rd2\[31\],73.1
rf.regs\[30\]\[29\],73.02
clknet_leaf_19_clk,73.02
clknet_leaf_30_clk,72.98
alu_inst._145_,72.94
rf._03194_,72.78
rf.regs\[29\]\[0\],72.68
rf._01385_,72.64
clknet_leaf_0_clk,72.485
alu_inst._180_,72.38
clknet_leaf_33_clk,72.36
rf._04159_,71.92
clknet_leaf_56_clk,71.9
